Name,Email,Role
"Potter, Harry",harryp1@hogwarts.edu,Student
"Granger, Hermione",grangerh1@hogwarts.edu,Student
"Hagrid, Rubeus",Hagridr4@hogwarts.edu,Student
"Malfoy, Draco",malfoyd3@hogwarts.edu,Student
"Weasley, Ron",weasleyr3@hogwarts.edu,Student
"Lovegood, Luna",lovegoodl2@hogwarts.edu,Student
"Longbottom, Neville",longbottomn2@hogwarts.edu,Student
"Lupin, Remus",lupinr6@hogwarts.edu,Student
"Weasley, Ginny",weasleyg1@hogwarts.edu,Student
"Black, Sirius",blacks3@hogwarts.edu,Student
"Brown, Lavender",brownl215@hogwarts.edu,Student
"Lupin, Remus",lupinr3@hogwarts.edu,Student
"Hagrid, Rubeus",hagridr2@hogwarts.edu,Student
Dean Thomas,deant312hogwarts.edu,Student
"Scamander, Newt",scamandern7@hogwarts.edu,Student
"Parkinson, Pansy",parkinsonp2@hogwarts.edu,Student
"Grindelwald, Gellert",grindelwaldg5@hogwarts.edu,Student
"Umbridge, Dolores",umbridged23@hogwarts.edu,Student
"Pettigrew, Petter",pettigrewp31@hogwarts.edu,Student
"Chang, Cho",changc218@hogwarts.edu,Student
"Weasley, Fred",weasleyf2@hogwarts.edu,Student
"Tonks, Nymphadora",tonksn17@hogwarts.edu,Student
"Malfoy, Lucius",malfoyl22@hogwarts.edu,Student
"Dursley, Dudley",dursleyd18@hogwarts.edu,Student
"Wood, Oliver",woodo179@hogwarts.edu,Student
