Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes),Guest
Albus Dumbledore,dumbledorea1@hogwarts.edu,1/26/2021 7:45,1/26/2021 9:16,91,No
Luna Lovegood,lovegoodl2@hogwarts.edu,1/26/2021 7:49,1/26/2021 9:16,88,No
Dudley Dursley,dursleyd18@hogwarts.edu,1/26/2021 7:52,1/26/2021 9:16,85,No
Hermione Granger,grangerh1@hogwarts.edu,1/26/2021 7:53,1/26/2021 9:15,82,No
Petter Pettigrew,pettigrewp31@hogwarts.edu,1/26/2021 7:57,1/26/2021 9:15,78,No
Newt Scamander,scamandern7@hogwarts.edu,1/26/2021 7:57,1/26/2021 9:15,78,No
Lucius Malfoy,malfoyl22@hogwarts.edu,1/26/2021 7:59,1/26/2021 9:15,77,No
Rubeus Hagrid,Hagridr4@hogwarts.edu,1/26/2021 7:58,1/26/2021 9:14,77,No
Cho Chang (she/her),changc218@hogwarts.edu,1/26/2021 7:57,1/26/2021 9:14,77,No
Harry Potter,harryp1@hogwarts.edu,1/26/2021 7:52,1/26/2021 7:53,1,No
Harry Potter,harryp1@hogwarts.edu,1/26/2021 7:57,1/26/2021 9:14,77,No
Nymphadora Tonks,tonksn17@hogwarts.edu,1/26/2021 7:58,1/26/2021 9:14,77,No
Oliver Wood,woodo179@hogwarts.edu,1/26/2021 7:55,1/26/2021 9:12,77,No
Lavender Brown,brownl215@hogwarts.edu,1/26/2021 7:58,1/26/2021 9:14,76,No
Remus Lupin,lupinr3@hogwarts.edu,1/26/2021 7:58,1/26/2021 9:14,76,No
NA Dean Thomas,deant312hogwarts.edu,1/26/2021 7:59,1/26/2021 9:14,76,No
Ron Weasley,weasleyr3@hogwarts.edu,1/26/2021 7:58,1/26/2021 9:14,76,No
Neville Longbottom,longbottomn2@hogwarts.edu,1/26/2021 8:00,1/26/2021 9:14,75,Yes
Rubeus Hagrid,hagridr2@hogwarts.edu,1/26/2021 8:00,1/26/2021 9:14,75,No
Harry Potter,harryp1@hogwarts.edu,1/26/2021 8:02,1/26/2021 9:15,74,No
Dolores Umbridge,umbridged23@hogwarts.edu,1/26/2021 8:00,1/26/2021 9:14,74,No
Sirius Black,blacks3@hogwarts.edu,1/26/2021 8:03,1/26/2021 9:14,72,No
Ginny Weasley,weasleyg1@hogwarts.edu,1/26/2021 8:00,1/26/2021 8:01,1,N0
Ginny Weasley,weasleyg1@hogwarts.edu,1/26/2021 8:03,1/26/2021 9:15,72,N0
Remus Lupin,lupinr6@hogwarts.edu,1/26/2021 8:03,1/26/2021 9:14,71,No
Fred Weasley,weasleyf2@hogwarts.edu,1/26/2021 8:00,1/26/2021 8:02,2,No
Fred Weasley,weasleyf2@hogwarts.edu,1/26/2021 8:05,1/26/2021 8:07,2,No
Fred Weasley,weasleyf2@hogwarts.edu,1/26/2021 8:08,1/26/2021 8:09,1,No
Fred Weasley,weasleyf2@hogwarts.edu,1/26/2021 8:19,1/26/2021 9:14,56,No
